activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
sprayed *** disinfecting spray all over his face,,
sprayed *** gel spray directly at himself,,
sprayed *** in eye,,
sprayed *** in his left eye,,
sprayed *** into mouth,,
sprayed *** into right eye,,
sprayed *** on the floor,,
sprayed *** power wash dish soap,,
sprayed 70 alcohol rub sanitizer into l eye,,
sprayed a battery corrosion preventative in her eye,,
sprayed a mixture of water and bleach into eyes,,
sprayed aerosol air freshener into a candle flame,,
sprayed air freshener into mouth,,
sprayed air fresher into eyes,,
sprayed an aerosol can of odor eaters into mouth,,
sprayed an air freshener on the sheets,,
sprayed antiperspirant in his eyes,,
sprayed bleach,,
sprayed bleach in pts eye,,
sprayed bleach into l eye,,
sprayed cleaner in eye,,
sprayed cleaner in eyes,,
sprayed clorox cleaner in his face,,
sprayed degreaser on himself,,
sprayed dog in face with water gun,,
sprayed dry erase board cleaner in mouth,,
sprayed face,,
sprayed gasoline onto face,,
sprayed grill cleaner in pts eye,,
sprayed hair color spray on hand then lit it on fire with a cigarette lighter,,
sprayed her in the eyes,,
sprayed her vagina with bleach,,
sprayed herself in the face with water,,
sprayed himself with the ***,,
sprayed his mattress,,
sprayed household cleaner in his face,,
sprayed in eyes,,
sprayed in face and eye,,
sprayed in the face,,
sprayed lubricants in mouth,,
sprayed lubricants into a fire,,
sprayed multi-cleaner with bleach in eye,,
sprayed multipurpose cleaner in his mouth,,
sprayed oven cleaner in eye,,
sprayed oven spray,,
sprayed paint in eyes,,
sprayed pepper spray at dog,,
sprayed pepper spray in the car,,
sprayed perfume in eyes,,
sprayed self,,
sprayed self from a bottle to the eye,,
sprayed self in face,,
sprayed self in face with an aerosol air freshener,,
sprayed self in the eye,,
sprayed self to eyes,,
sprayed shower glass and mirror cleaner in his mouth,,
sprayed some household strength cleaning product with bleach in eyes,,
sprayed someone else in domestic dispute,,
sprayed spot remover in eye,,
sprayed sunscreen at beach,,
sprayed sunscreen in her eyes at the pool,,
sprayed the end of his bed,,
sprayed with cleaner,,
sprayed with hot water and cleaning fluid,,
spraying ***,,
spraying *** cleaner in r eye,,
spraying *** in eye,,
spraying 5050 bleach with water onto his basement floor,,
spraying a disinfectant,,
spraying a mattress for bed bugs,,
spraying base spray paint,,
spraying bathroom cleaner on hands then rubbing eyes,,
spraying bear pepper spray in her vehicle,,
spraying bees in ceiling,,
spraying bleach,,
spraying brake cleaner,,
spraying bug spray,,
spraying c spray foam,,
spraying carburetor cleaner,,
spraying carpenter bees,,
spraying chemical foam,,
spraying chemical tokill mold,,
spraying chemicals around the house,,
spraying cleaner in eye,,
spraying cleaner with bleach,,
spraying cleaning sol in shower,,
spraying couch with bug spray,,
spraying de-icer at each other and getting in mouth,,
spraying de-icer spray,,
spraying dermaplast,,
spraying furniture polish,,
spraying general purpose household cleaners,,
spraying graffiti removal,,
spraying hair spray near face,,
spraying her bathroom floor with insect spray,,
spraying himself in the eye,,
spraying his finger,,
spraying hornets with bug killer,,
spraying house cleaner,,
spraying insulation,,
spraying into mouth,,
spraying it on the floor,,
spraying kerosene on campfire,,
spraying keyboard spray,,
spraying left hand with pressure washer,,
spraying mosquito,,
spraying off boots,,
spraying on a mattress,,
spraying oven cleaner,,
spraying pesticide on the counter,,
spraying pesticides,,
spraying self with pepper spray,,
spraying silicone lubricant spray and opened his phone,,
spraying some ***,,
spraying stain onto a fence,,
spraying topical adhesive on his shoes,,
spraying wasp bee nest,,
spraying weed killer,,
spraying yard,,
spreading 50lbs bags of fertilizer in a hay field,,
spreading bags of mulch,,
spreading fertilizer,,
spreading grass seed,,
spreading mulch,,
spreading out tarp,,
spreading pb on toast,,
spreading rock salt on sidewalk,,
spring cleaning,,
spring from mattress,,
sprinklers were on,,
sprinkling carpet freshener on the carpet,,
sprint racing,,
sprinted,,
sprinting,,
sprinting 8 miles,,
sprinting drill,,
sprinting during exercise,,
sprinting during football,,
sprinting during gym class,,
sprinting during soccer game,,
sprinting during track meet,,
sprinting for football practice,,
sprinting for trac fx,,
sprinting in gym class,,
sprinting in pe,,
sprinting in track,,
sprinting the 100m at a track meet,,
sprinting the 400 meter,,
sprints,,
sprints and running during exercise,,
sprints for exercise,,
sprints in pe at school,,
sprintsrunning for exercise,,
spun and moved head,,
spun around,,
spun on swing,,
spun on the carousel,,
spying on some friends,,
squashing it between foot and rail of bunkbed,,
squat to retrieve something under stroller,,
squating,,
squating cleaning refrigerator,,
squating on floor arising,,
squats,,
squats with weights as well as deadlifts,,
squatted,,
squatted down and stood up,,
squatted down to pick up phone,,
squatted to get something from up off the floor,,
squatting,,
squatting 200lbs while in gym,,
squatting 350 lbs at football practice,,
squatting and then running during exercise,,
squatting at gym w weights,,
squatting down to get something off floor,,
squatting during a workout,,
squatting exercises,,
squatting in a restroom stall with arm aspect over it holding onto a hanger,,
squatting in gym class,,
squatting in the floor,,
squatting in the shower,,
squatting lifting weights,,
squatting on toilet,,
squatting on wall then stood up,,
squatting over toilet seat,,
squatting to clean kitty litter,,
squatting to floor,,
squatting to pick up books,,
squatting to sit on toilet,,
squatting under the table,,
squatting weight lifting,,
squatting with weights,,
squatting with weights on a crossbar,,
squattinglifting,,
squattinglooking for sth under a cabinet,,
squeezed,,
squeezed a detergent pod into eyes,,
squeezed a laundry detergent pod,,
squeezed a pimple,,
squeezed a pod,,
squeezed a pod with twin brother,,
squeezed bottle of powder,,
squeezed brakes too hard on electric scooter,,
squeezed epoxy glue packet,,
squeezed fingernail glue into her mouth and on her facechest,,
squeezed it,,
squeezed laundry pod,,
squeezed pod,,
squeezed small amount into mouth,,
squeezed the container,,
squeezed the lightbulb,,
squeezing a laundry soap pod,,
squeezing a pod,,
squeezing a sponge,,
squeezing a stress ball,,
squeezing pliers,,
squeezing spray bottle,,
squeezing stress ball,,
squeezing tube,,
squired charcoal lighter fluid in eye,,
squired some dish soap into eyes,,
squiring bleach into tub,,
squirmed in baby tub,,
squirmed out of chair,,
squirrel hunting,,
squirt a pod in right eye,,
squirt himself in the lt eye w a water gun,,
squirted lighter fluid on coals in closed bbq then used lighter on grill,,
squirting hand sanitizer on hands and on floor,,
stabbed another individual,,
stabbed self,,
stabbed self in eye,,
stabbed self in hand,,
stabbed up on the edge of the bed,,
stabbing a frozen water balloon with a knife,,
stabbing a knife into a table,,
stabbing avocado,,
stabbing his palm w a knife,,
stabbing mailboxes,,
stabbing self with a pencil,,
stabbing some items,,
stabiling something,,
stabilizing a ladder,,
stabling her horse,,
stacked stools and chairs to try and reach something on the ceiling,,
stacking boxes,,
stacking canned goods,,
stacking chairs,,
stacking chairs on desk,,
stacking firewood,,
stacking pallets,,
stacking plastic cups,,
stacking toys on a chair,,
stacking wood pellets,,
stacking wooden planks onto a rack,,
staggered,,
staggered and fell,,
staggering down street,,
staggering on the street,,
staining a deck,,
staining furniture,,
staining her kitchen,,
stair surfing,,
staking her tree,,
stalling a stainless steel sink,,
stand from bent pos,,
stand from chair,,
stand on,,
stand on bar stool,,
stand on rocking chair,,
stand up at refrigerator,,
stand up from a chair,,
stand up from a couch,,
stand up from chair,,
stand up from chair with her walker,,
stand up from her chair,,
stand up from toilet,,
stand up from wheelchair,,
stand up in grocery cart,,
stand up on her stroller,,
stand up out of chair,,
standing,,
standing a picnic bench,,
standing against a couch cruising,,
standing against a dresser,,
standing against a wall,,
standing against cabinet,,
standing against floor,,
standing against the food cart,,
standing against the wall,,
standing against wall,,
standing alone,,
standing and cruising,,
standing and getting out of his chair,,
standing and lost balance in bathroom,,
standing and playing,,
standing and reaching over to use a laptop on a table,,
standing and spinning on her arm at high speed,,
standing and turning around with her walker,,
standing and urinating,,
standing around,,
standing around bonfire,,
standing at a bar,,
standing at a bar drinking alcohol,,
standing at a coffee shop,,
standing at a counter,,
standing at a desk,,
standing at a food truck,,
standing at a table,,
standing at a wooden table,,
standing at an atm,,
standing at attention,,
standing at base of stairs,,
standing at bathroom sink,,
standing at bedside toilet,,
standing at br counter,,
standing at brokers office,,
standing at bus stop,,
standing at counter with walker,,
standing at daycare,,
standing at her dresser,,
standing at her mailbox,,
standing at her sink,,
standing at home in yard,,
standing at kitchen door,,
standing at mirror,,
standing at nurses station,,
standing at playground,,
standing at rehab facility,,
standing at school,,
standing at sink,,
standing at sink using a toothpick,,
"standing at sink, turned around",,
standing at table,,
standing at table holding onto chair,,
standing at the bar,,
standing at the base of a ladder,,
standing at the bottom of a hill,,
standing at the bottom of a slide,,
standing at the bottom of attic ladder while putting away stuff,,
standing at the bottom of the steps talking to her dad,,
standing at the bus stop,,
standing at the counter,,
standing at the doorway,,
standing at the fridge,,
standing at the kitchen sink,,
standing at the reception desk to check out,,
standing at the sink,,
standing at the sink and turning to walk out,,
standing at the table,,
standing at the top of a 5 foot water slide,,
standing at the top of a staircase,,
standing at the top of carpeted stairs,,
standing at the top of indoor carpeted steps,,
standing at the top of the slide,,
standing at the top of the sliding board,,
standing at the top of the stairs,,
standing at toilet,,
standing at top of slide,,
standing at top of stairs,,
standing at top of stairs and jumped around four steps,,
standing at top of steps,,
standing at water fountain,,
standing at window,,
standing awkwardly in the bathroom trying to pee,,
standing back up from falling,,
standing backwards in his high chair,,
standing balancing on a laundry basket,,
standing bathtub,,
standing behind a batter while he was swinging,,
standing behind a door,,
standing behind a door which was opened,,
standing behind a friend who was swinging a baseball bat,,
standing behind batter at baseball,,
standing behind brother was swinging a metal baseball bat,,
standing behind brother while swinging,,
standing behind brother who was swinging a t ball bat,,
standing behind door,,
standing behind friend who swung bat,,
standing behind husband,,
standing behind nephew who swung a baseball bat,,
standing behind sibling about to swing golf club,,
standing behind sibling who swung a baseball bat,,
standing behind sister while she was swinging a baseball bat,,
standing behind sister who was on a swing,,
standing behind someone sweeping,,
standing behind swing at park,,
standing behind the door,,
standing below window while mom was opening it,,
standing bent over,,
standing between sink and stove,,
standing by a garbage can,,
standing by a loud speaker,,
standing by a truck,,
standing by her front door,,
standing by his pedal bike,,
standing by it,,
standing by the banksafe,,
standing by the door,,
standing carrying grocery bags,,
standing close to a smoker type grill that was being lit,,
standing cooking,,
standing for 30 min under the sun and wearing a coat,,
standing for a long time,,
standing for multiple hours in uncomfortable shoes,,
standing from a chair,,
standing from a seated position,,
standing from bed,,
standing from bed to open door,,
standing from bed to walk to bathroom,,
standing from bending over,,
standing from bending over sink,,
standing from bleachers,,
standing from chair,,
standing from chair reaching for walker,,
"standing from chair, talking on phone",,
standing from couch,,
standing from her couch,,
standing from recliner,,
standing from seated position,,
standing from sitting,,
standing from sitting on riding lawn mower,,
standing from sitting position,,
standing from sitting position at desk,,
standing from sofa,,
standing from squatting position,,
standing from table,,
standing from the toilet,,
standing from toilet,,
standing holding chair,,
standing holding on to moms bed,,
standing holding onto a bed,,
standing holding onto a chair,,
standing holding onto couch,,
standing holding onto furniture,,
standing holding onto sink,,
standing holding pt on shoulder,,
standing in a basket,,
standing in a cardboard box,,
standing in a chair,,
standing in a chair to reach for marshmallows,,
standing in a childs sized chair,,
standing in a grocery cart,,
standing in a line,,
standing in a nonmobile go cart,,
standing in a shopping cart,,
standing in a stool,,
standing in a store,,
standing in a stroller,,
standing in a wagon,,
standing in an elevator,,
standing in an open parallel parking spot,,
standing in basement,,
standing in bath tub,,
standing in bathrm,,
standing in bathroom,,
standing in bathtub,,
standing in batting cage,,
standing in bedroom,,
standing in booster chair,,
standing in cart,,
standing in cart at laundromat,,
standing in chair,,
standing in chair getting a bowl,,
standing in chair to clean overhead cabinet,,
standing in chemistry class,,
standing in childs wagon,,
standing in church,,
standing in class,,
standing in closet,,
standing in couch,,
standing in crib,,
standing in dark area,,
standing in doorway,,
standing in entrance between garage house door,,
standing in front of a fan,,
standing in front of congregation at church,,
standing in front of freezerfridge with top door open,,
standing in front of heater,,
standing in front of mirror,,
standing in front of snowmobile,,
standing in front of window,,
standing in grocery cart,,
standing in hallway,,
standing in her kitchen,,
standing in his crib,,
standing in his highchair,,
standing in his living room,,
standing in his room,,
standing in his shed,,
standing in hot shower,,
standing in kitchen,,
standing in laundry basket,,
standing in lawn chair,,
standing in line,,
standing in line at a casino,,
standing in line at a store,,
standing in line at drug store,,
standing in line at the grocery store,,
standing in line for food,,
standing in living room,,
standing in lunch line,,
standing in plastic basket,,
standing in pool and reaching up to grab a friend,,
standing in shopping cart,,
standing in shower,,
standing in shower cleaning it,,
standing in shower grabbing shower curtain,,
standing in small plastic chair on porch,,
standing in stool,,
standing in stroller,,
standing in the back of a truck bed leaning over to hold open the lid of a dumpster,,
standing in the bathroom,,
standing in the bathroom to pee,,
standing in the bathtub,,
standing in the bucket of a shopping cart,,
standing in the crib,,
standing in the driveway,,
standing in the garage,,
standing in the garden,,
standing in the kitchen,,
standing in the kitchen at the microwave,,
standing in the kitchen turned,,
standing in the kitchen turned around quickly,,
standing in the park,,
standing in the sand,,
standing in the shopping cart,,
standing in the shower,,
standing in the street,,
standing in time out,,
standing in tub,,
standing in umbrella stroller,,
standing in wagon,,
standing leaning on his car seat,,
standing leaning over her bed to grab a pillow,,
standing making pancakes,,
standing n play,,
standing near a barrel filled w diesel,,
standing near a car,,
standing near a garden hose,,
standing near a spinning firework,,
standing near a truck,,
standing near automatic foam hand sanitizer dispenser,,
standing near brother who was emptying a fire starter,,
standing near cousin who was pulling a plate of hot noodles and pasta sauce out of the microwave,,
standing near family dog,,
standing near heater,,
standing near her refrigerator,,
standing near the bathroom,,
standing near the sliding glass door,,
standing near toilet,,
standing next to a bonfire,,
standing next to a can of gasoline,,
standing next to a counter,,
standing next to a door,,
standing next to a pole,,
standing next to a propane grill,,
standing next to a table,,
standing next to bed,,
standing next to brook,,
standing next to car while holding it,,
standing next to couch,,
standing next to dumpster,,
standing next to gymnastics bar,,
standing next to heater,,
standing next to her daughter who was jumping on the trampoline,,
standing next to his bed,,
standing next to his grandmother who was cooking,,
standing next to it,,
standing next to mom,,
standing next to mom who was cooking,,
standing next to mother,,
standing next to mother in the kitchen,,
standing next to mother who was pouring hot oil onto a hot flat top grill,,
standing next to someone lighting firecrackers,,
standing next to someone swinging bat,,
standing next to son who fired a gun,,
standing next to stove,,
standing next to tub,,
standing on,,
standing on 15ft high lounge chair,,
standing on 2ft cot,,
standing on 3 ft desk,,
standing on 34 boards on couch,,
standing on 4 foot ladder,,
standing on 4wheeler,,
standing on 5 gal bucket trying to plug in tv,,
standing on 5ft platform,,
standing on a 1 foot stool,,
standing on a 3 ft ladder inside of his greenhouse,,
standing on a 3ft bucket,,
standing on a 3ft retaining wall,,
standing on a 5 gallon bucket,,
standing on a 6 ft ladder,,
standing on a 6in stool,,
standing on a baby chair,,
standing on a balance beam,,
standing on a ball,,
standing on a ball holding onto a table,,
standing on a bar,,
standing on a barrel,,
standing on a barstool,,
standing on a basketball hoop stand,,
standing on a bathtub edge,,
standing on a bed,,
standing on a bed next to window,,
standing on a bed reaching for cat treats,,
standing on a bed to turn off a light,,
standing on a bench,,
standing on a bench at a bus stop,,
standing on a bench at a parade,,
standing on a bench holding the kitchen table,,
standing on a bench to get something that was hanging,,
standing on a bike,,
standing on a bike trying to reach a ball caught in a tree,,
standing on a blanket,,
standing on a blanket or ottoman,,
standing on a boogie board,,
standing on a boombox,,
standing on a box,,
standing on a box on top of a trampoline,,
standing on a broken office chair,,
standing on a bucket,,
standing on a bus,,
standing on a cabinet,,
standing on a cabinet drawer and holding onto the oven handle,,
standing on a car,,
standing on a cardboard box,,
standing on a case of bottled water,,
standing on a cement wall,,
standing on a chair,,
standing on a chair and jumped off,,
standing on a chair and stepped down onto some boxes,,
standing on a chair at dance class and stepping down,,
standing on a chair at lunch reaching across the table,,
standing on a chair attempting to reach a clock,,
standing on a chair by kitchen counter trying get something off counter,,
standing on a chair dancing,,
standing on a chair ledge,,
standing on a chair looking into the mirror,,
standing on a chair looking over a fence,,
standing on a chair on a ledge,,
standing on a chair on the stairs,,
standing on a chair reached for something,,
standing on a chair reaching for candy,,
standing on a chair reaching for something overhead,,
standing on a chair that was on a table,,
standing on a chair to get something out of the cabinet,,
standing on a chair to grab an object from a shelf,,
standing on a chair to kill a bug that was on her ceiling,,
standing on a chair to reach something on a shelf,,
standing on a chair trying to reach something,,
standing on a chair went to step on a couch did a flip,,
standing on a chair when she stepped down,,
standing on a chair while eating,,
standing on a chest,,
standing on a child sized wheely chair and tried to get off,,
standing on a childs small plastic chair,,
standing on a coffee table,,
standing on a computer modem,,
standing on a cooler,,
standing on a cooler full of glass drink bottles,,
standing on a couch,,
standing on a couch and stepping down,,
standing on a counter,,
standing on a crate,,
standing on a deck,,
standing on a desk,,
standing on a desk and jumped off,,
standing on a desk chair,,
standing on a dining room chair,,
standing on a diving board for an above ground pool,,
standing on a dodge ball,,
standing on a dog cage,,
standing on a dryer box,,
standing on a fireplace,,
standing on a foam chair,,
standing on a folding chair,,
standing on a foot stool,,
standing on a footstool,,
standing on a freezer shelf,,
standing on a futon,,
standing on a garbage can,,
standing on a glass drinking glass,,
standing on a glass table,,
standing on a grocerie cart,,
standing on a groundlevel small trampoline,,
standing on a high chair,,
standing on a high chair and turned,,
standing on a highchair and table,,
standing on a kid table,,
standing on a kitchen chair,,
standing on a kitchen stool,,
standing on a ladder,,
standing on a ladder leaning against exterior wall of house,,
standing on a landscaping rock,,
standing on a leather chair,,
standing on a ledge,,
standing on a lg rubber ball,,
standing on a loading dock,,
standing on a low footstool,,
standing on a low standing stool at the counter,,
standing on a low step stool after the shower,,
standing on a lug bolt of car tire,,
standing on a metal folding chair,,
standing on a metal step stool,,
standing on a milk crate,,
standing on a motorized scooter,,
standing on a nonmoving treadmill,,
standing on a paddleboard,,
standing on a paint can,,
standing on a piano bench,,
standing on a picnic table,,
standing on a piece of furniture,,
standing on a plastic container,,
standing on a plastic crate and jumped off,,
standing on a plastic table,,
standing on a platform,,
standing on a platform on a play structure,,
standing on a porch,,
standing on a quilt rack,,
standing on a railing,,
standing on a railing at a concert,,
standing on a recliner,,
standing on a riding car,,
standing on a riding toy,,
standing on a rocking chair,,
standing on a rolling chair,,
standing on a rope for tug of war contest,,
standing on a sink,,
standing on a skateboard,,
standing on a slippery cement floor,,
standing on a small bench,,
standing on a small chair,,
standing on a small step stool underneath his deck,,
standing on a small stool trying to get her garage door to lift up,,
standing on a soccer ball,,
standing on a square mat,,
standing on a stack of cots,,
standing on a stage,,
standing on a step,,
standing on a step stool,,
standing on a step stool beside a broken fence,,
standing on a step stool to get into a pick up truck,,
standing on a step stool when she jumped off,,
standing on a stepladder on top of the stove,,
standing on a stool,,
standing on a stool against a chair,,
standing on a stool at the kitchen table,,
standing on a stool on his vehicle,,
standing on a stool peeing,,
standing on a suitcase,,
standing on a swing,,
standing on a swing jumped off,,
standing on a swivel chair,,
standing on a swivel chair and tried to reach for the bed,,
standing on a table,,
standing on a table or chair,,
standing on a table to reach something,,
standing on a teetertotter wooden board balanced over cinder block,,
standing on a toilet,,
standing on a toilet seat,,
standing on a toolbox,,
standing on a tote or toy box,,
standing on a toy,,
standing on a toy car,,
standing on a toy drum,,
standing on a toy train,,
standing on a toy truck,,
standing on a trash can trying to scare sister,,
standing on a treadmill,,
standing on a tricycle,,
standing on a vanity stool,,
standing on a wagon,,
standing on a wave,,
standing on a welder,,
standing on a wheelchair,,
standing on a wheeled riding toy,,
standing on a wooden chair,,
standing on a wooden plank shelf,,
standing on a wooden stool,,
standing on ac unit near screened window,,
standing on an ash tray,,
standing on an electric scooter,,
standing on an electrical box,,
standing on an empty fish tank,,
standing on an object,,
standing on an open oven door,,
standing on an ottoman,,
standing on another boys shoulder,,
standing on arm of couch,,
standing on arm of sofa,,
standing on aunt's bed,,
standing on baby bed rail,,
standing on back of bike,,
standing on back of golf cart,,
standing on back of his tricycle,,
standing on back of recliner chair,,
standing on back of tricycle,,
standing on back pegs of bike,,
standing on back seating surround playplace,,
standing on backside of stroller,,
standing on ball,,
standing on bar and stepped back,,
standing on barstool,,
standing on baseboard heater,,
standing on basketball,,
standing on bathtub,,
standing on battery operated car,,
standing on bed,,
standing on bed and went to step down,,
standing on bed reaching for a balloon,,
standing on bed stepped off,,
standing on bed to hang picture,,
standing on bed tossing ball to cousin,,
standing on bench,,
standing on bench and letting himself fall back,,
standing on bench picnic table,,
standing on bike pegs on bike,,
standing on blanket,,
standing on blankets,,
standing on bleacher attempted to jump to dad's arm,,
standing on bleachers,,
standing on block,,
standing on box,,
standing on box to reach light string,,
standing on brother toy truck,,
standing on brothers back while wearing tights,,
standing on bucket,,
standing on bucket in garden,,
standing on bucket to reach in cabinet,,
standing on bucket trying to reach something,,
standing on bus stop bench jumped off,,
standing on cabinet,,
standing on car toy,,
standing on cardboard box,,
standing on carpet,,
standing on carpeted steps,,
standing on chair,,
standing on chair and jumped off on concrete,,
standing on chair cleaning,,
standing on chair in bed of truck,,
standing on chair leaning onto the back of the chair,,
standing on chair reaching for something,,
standing on chair reaching high,,
standing on chair rocking back and forth,,
standing on chair spinning to get off,,
standing on chair to get away from spider,,
standing on chair to reach a cabinet,,
standing on chair to reach for something,,
standing on chair to turn on light,,
standing on chair walked backwards,,
"standing on chair, tried to kick ceiling",,
standing on chest,,
standing on childs pogo stick,,
standing on coffee table,,
standing on coffee table to see a mirror,,
standing on computer chair,,
standing on computer chair to reach into cabinet,,
standing on concrete floors,,
standing on concrete steps,,
standing on container,,
standing on cooler,,
standing on couch,,
standing on couch and jumped to chair,,
standing on couch and took a few steps and fell off,,
standing on couch reaching toward curtain,,
standing on couch to reach blinds,,
standing on counter,,
standing on counter to put plastic on window,,
standing on counter top,,
standing on counter trying to grab a box of cereal,,
standing on countertop,,
standing on deck,,
standing on deck using ns grill,,
standing on desk reaching to shelf,,
standing on dining room chair,,
standing on dirt bike,,
standing on door knob hanging from top of the door,,
standing on dresser,,
standing on dresser pretending to surf,,
standing on dryer to reach a cabinet,,
standing on edge of ***,,
standing on edge of shopping cart,,
standing on edge of step,,
standing on empty aquarium,,
standing on end of couch,,
standing on equipment,,
standing on extension cord,,
standing on fence,,
standing on fireplace ledge,,
standing on floor,,
standing on floor for prolonged time,,
standing on floor holding mothers hair,,
standing on floor tiles trying to fix something on the wall,,
standing on floor tried to dive into blanket,,
standing on foam mat,,
standing on folding chair,,
standing on folding chair reaching for clothing,,
standing on folding chairs at a concert,,
standing on folding table,,
standing on foot of bed,,
standing on foot stool,,
standing on furniture,,
standing on glass coffee table,,
standing on glass table,,
standing on hamper next to stove,,
standing on hardwood floor with socks,,
standing on headboard trying to make a basket,,
standing on heavy metal gate,,
standing on her baby car reaching for item,,
standing on her bed,,
standing on her bed to kill a bug,,
standing on her bed to open a window,,
standing on her booster chair,,
standing on her feet all day,,
standing on her hands,,
standing on her porch,,
standing on her stove,,
standing on high chair,,
standing on highchair,,
standing on his bed,,
standing on his bed to turn off the ceiling fan,,
standing on his bed to turn on his ceiling fan,,
standing on his bed to turn on the ceiling fan,,
standing on his deck,,
standing on his desk tried to jump off onto bed,,
standing on his feet,,
standing on his porch,,
standing on his riding dump truck,,
standing on his skateboard,,
standing on holding onto the oven,,
standing on it,,
standing on jungle gym,,
standing on kitchen chair,,
standing on kitchen chair leaning over the table,,
standing on kitchen counter,,
standing on kitchen floor,,
standing on kitchen island cabinets,,
standing on kitchen table,,
standing on ladder,,
standing on ladder and reached to wall,,
standing on ladder on scaffolding,,
standing on landing,,
standing on last step,,
standing on laundry basket,,
standing on ledge by fish tank,,
standing on lower bunk,,
standing on mattress trying to fix curtains,,
standing on metal folding chair,,
standing on metal ladder,,
standing on office chair,,
standing on one foot in the shower,,
standing on one side of a glass sliding door,,
standing on other side of bed,,
standing on ottoman,,
standing on oven,,
standing on paint cans,,
standing on pallets,,
standing on picnic table,,
standing on pillow on couch,,
standing on plastic container reaching into dumpster,,
standing on plastic lawn chair jumping up and down,,
standing on play potty,,
standing on porcelain pot,,
standing on porch,,
standing on porch drinking,,
standing on porch holding dog leash,,
standing on potato peeler,,
standing on rear rack,,
standing on riding lawnmower,,
standing on rocking chair,,
standing on rubber ball,,
standing on rug,,
standing on scaffolding,,
standing on scale,,
standing on second step outside,,
standing on seesaw,,
standing on shelf,,
standing on shopping buggy,,
standing on shopping cart,,
standing on shower soap tray,,
standing on side of bathtub to get out,,
standing on side of road,,
standing on sidewalk,,
standing on sink,,
standing on sink counter,,
standing on skateboard,,
standing on slide,,
standing on small cooler,,
standing on small plastic slide,,
standing on small stool,,
standing on soccer ball,,
standing on sofa,,
standing on some ***,,
standing on speaker,,
standing on stack of paper towels,,
standing on stacked plastic storage containers,,
standing on stairs,,
standing on step stool,,
standing on steps,,
standing on stool,,
standing on stool or chair,,
standing on stool reaching for light switch,,
standing on stool to tie shoes,,
standing on stroller,,
standing on swing trying to get onto monkey bars,,
standing on swivel chair reaching for something higher,,
standing on table,,
"standing on table in laundromat, put hand in open electric outlet",,
standing on teeter totter,,
standing on the arm of the couch,,
standing on the arm rest of a couch and jumped off,,
standing on the back of a sidebyside,,
standing on the back of high chair,,
standing on the balance beam,,
standing on the bathroom trash can,,
standing on the bed,,
standing on the bedframe,,
standing on the bench of a picnic table,,
standing on the chair,,
standing on the chair of a party bus,,
standing on the coffee table,,
standing on the couch,,
standing on the counter,,
standing on the deck,,
standing on the dining room table,,
standing on the dining table,,
standing on the driveway,,
standing on the edge of bathtub,,
standing on the edge of the sofa,,
standing on the floor,,
standing on the ground,,
standing on the hermit crab cage,,
standing on the kitchen cabinet,,
standing on the kitchen chair,,
standing on the kitchen chair reaching for an object,,
standing on the kitchen counter,,
standing on the kitchen table,,
standing on the ledge of an automatic garage door as it was going up,,
standing on the ledge of her shower,,
standing on the ottoman,,
standing on the patio fire pit,,
standing on the pegs of a bike,,
standing on the road picking up a piece of his bike,,
standing on the side of the pool,,
standing on the slide,,
standing on the stage,,
standing on the stairs leaning against the banister,,
standing on the stairs to go up to the porch,,
standing on the steps of swimming pool and dove in,,
standing on the table,,
standing on the toilet,,
standing on the toilet reaching over the sink,,
standing on the toilet to try to jump on dad,,
standing on third step of porch,,
standing on tile floor,,
standing on tiptoes looking out window,,
standing on toilet,,
standing on toilet leaning over sink,,
standing on toilet reaching for a phone,,
standing on toilet reaching for bows on shelf,,
standing on toilet seat,,
standing on toilet to reach something in cabinet,,
standing on toilet trying to reach for something,,
standing on toilets,,
standing on top of 6ft ladder tried to lift something,,
standing on top of a barrel,,
standing on top of a chair,,
standing on top of a chair leaning over her bed to open a window,,
standing on top of a dumpster,,
standing on top of a foam block,,
standing on top of another child,,
standing on top of bunk bed,,
standing on top of flight of stairs,,
standing on top of garbage can,,
standing on top of her bed to grab a book,,
standing on top of inflatable ottoman,,
standing on top of kitchen bar,,
standing on top of pot,,
standing on top of small ball,,
standing on top of stool,,
standing on top of table,,
standing on top of the couch,,
standing on top of the stairs,,
standing on top of the toy box,,
standing on top of toilet,,
standing on totes,,
standing on toy,,
standing on toy box,,
standing on toy bus,,
standing on toy car,,
standing on toy chest,,
standing on toy dump truck,,
standing on toy truck,,
standing on toys,,
standing on train platform,,
standing on train table,,
standing on trampoline,,
standing on tree log hit log with mallet,,
standing on tricycle,,
standing on two steps,,
standing on upper bunk of bunk bed,,
standing on vacuum cleaner,,
standing on wheeled chair,,
standing on windowsill,,
standing on wood chipper,,
standing on wood table,,
standing on wooden boxcrate,,
standing on wooden chair,,
standing on wooden dresser,,
standing on wooden play set steps,,
standing on wooden porch,,
standing on wooden shelf,,
standing onto his rideable car,,
standing onto plastic bathroom caddy,,
standing onto the bed,,
standing out of bed,,
standing out of grocery cart,,
standing outside,,
standing outside bathroom door,,
standing outside his car in gas station,,
standing reading his mail,,
standing rejoicing,,
standing smoking cigarette,,
standing talking,,
standing talking to friends,,
standing talking to mom,,
standing the fridge,,
standing the sink,,
standing to do dishes,,
standing to rise from chair,,
standing to shower,,
standing to take plate to kitchen,,
